"StateName","CountyName","FIPSWinner","VariableName","VariableValue","TrumpVClinton","TrumpVClintonPCT","CumTrumpVClinton"
"New Jersey","Middlesex, NJ","Clinton","MedianHouseholdIncome",78.249,-70091,-21.3329802743512,0.175197583609045
"Texas","Williamson, TX","Trump","MedianHouseholdIncome",78.531,19707,9.70400973010769,0.18957995952573
"Wisconsin","Waukesha, WI","Trump","MedianHouseholdIncome",78.689,63319,26.6501959232806,0.235790831838541
"Texas","Kendall, TX","Trump","MedianHouseholdIncome",79.108,12057,59.9254473161034,0.244590157277597
"California","Ventura, CA","Clinton","MedianHouseholdIncome",79.285,-62079,-17.4326817501481,0.199284250009526
"Virginia","New Kent, VA","Trump","MedianHouseholdIncome",79.322,4572,37.3743153764408,0.202620943706744
"Minnesota","Sherburne, MN","Trump","MedianHouseholdIncome",79.495,17760,36.7831327796533,0.215582378541084
"Illinois","Monroe, IL","Trump","MedianHouseholdIncome",79.686,7094,36.653921669939,0.22075965436962
"Texas","Midland, TX","Trump","MedianHouseholdIncome",79.829,26948,54.7590018694627,0.240426588261274
"Wisconsin","Ozaukee, WI","Trump","MedianHouseholdIncome",80.135,10294,18.8673020527859,0.247939257753655
"Pennsylvania","Bucks, PA","Clinton","MedianHouseholdIncome",80.512,-2699,-0.78222361335721,0.245969499160306
"Illinois","Mchenry, IL","Trump","MedianHouseholdIncome",80.513,10809,7.50990064614744,0.253858021070462
"Georgia","Fayette, GA","Trump","MedianHouseholdIncome",80.588,11764,19.1250345466665,0.262443512027172
"Virginia","King George, VA","Trump","MedianHouseholdIncome",81.128,3334,27.6680497925311,0.26487670030069
"Utah","Morgan, UT","Trump","MedianHouseholdIncome",81.358,2611,50.288906009245,0.266782235568283
"Iowa","Dallas, IA","Trump","MedianHouseholdIncome",81.381,3638,9.51061382411378,0.269437286239867
"Ohio","Warren, OH","Trump","MedianHouseholdIncome",81.383,43913,37.1172100178347,0.301485455602499
"California","Alameda, CA","Clinton","MedianHouseholdIncome",81.462,-418920,-63.5167077809938,-0.00424676741559798
"Connecticut","Tolland, CT","Clinton","MedianHouseholdIncome",81.616,-4312,-5.56933250671626,-0.007393710377629
"Illinois","Dupage, IL","Clinton","MedianHouseholdIncome",81.616,-62207,-14.4441038929678,-0.0527930333922541
"Washington","King, WA","Clinton","MedianHouseholdIncome",81.816,-501983,-48.8096650298994,-0.419145507629085
"Virginia","Hanover, VA","Trump","MedianHouseholdIncome",81.9,20248,32.2816191827559,-0.404368304221107
"Illinois","Lake, IL","Clinton","MedianHouseholdIncome",82.16,-61328,-20.2055877701634,-0.449126123788694
"Connecticut","Middlesex, CT","Clinton","MedianHouseholdIncome",82.878,-6490,-7.32307275681531,-0.45386259406318
"North Dakota","Mckenzie, ND","Trump","MedianHouseholdIncome",82.906,2972,63.6130136986301,-0.451693597197884
"Kansas","Johnson, KS","Trump","MedianHouseholdIncome",83.007,7638,2.59612247117686,-0.446119304446494
"Virginia","York, VA","Trump","MedianHouseholdIncome",83.007,5838,17.1137103157154,-0.441858670631017
"California","Contra Costa, CA","Clinton","MedianHouseholdIncome",83.036,-203331,-42.9862541066438,-0.590251773463282
"Wyoming","Campbell, WY","Trump","MedianHouseholdIncome",83.042,14454,79.4219462607836,-0.579703092207903
"Maryland","St. Mary'S, MD","Trump","MedianHouseholdIncome",83.148,11129,22.3285582440512,-0.571581030931362
"Pennsylvania","Montgomery, PA","Clinton","MedianHouseholdIncome",83.258,-93351,-21.2813346342887,-0.639709572779358
"Wyoming","Teton, WY","Clinton","MedianHouseholdIncome",83.29,-3393,-26.8709907341411,-0.642185819873553
"Maryland","Frederick, MD","Trump","MedianHouseholdIncome",83.746,3000,2.38707162010551,-0.639996388313699
"Maryland","Queen Anne'S, MD","Trump","MedianHouseholdIncome",83.914,9020,34.0082192813784,-0.633413497423736
