GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006
Id,Id2,Geography,Total:,Urban:,Urban: - Inside urbanized areas,Urban: - Inside urban clusters,Rural,Not defined for this file
0400000US02,02,Alaska,710231(r38823),468893,315756,153137,241338,0
