GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Not Hispanic or Latino,Margin of Error; Total: - Not Hispanic or Latino,Estimate; Total: - Hispanic or Latino,Margin of Error; Total: - Hispanic or Latino
0500000US01133,01133,"Winston County, Alabama",24130,*****,23463,*****,667,*****
0500000US02013,02013,"Aleutians East Borough, Alaska",3304,*****,2906,74,398,74
0500000US02016,02016,"Aleutians West Census Area, Alaska",5684,*****,5061,108,623,108
0500000US02020,02020,"Anchorage Municipality, Alaska",299107,*****,273417,*****,25690,*****
0500000US02050,02050,"Bethel Census Area, Alaska",17776,*****,17451,*****,325,*****
0500000US02060,02060,"Bristol Bay Borough, Alaska",970,91,901,87,69,27
0500000US02068,02068,"Denali Borough, Alaska",2060,143,2006,147,54,51
0500000US02070,02070,"Dillingham Census Area, Alaska",4979,*****,4835,*****,144,*****
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",99705,*****,92349,*****,7356,*****
0500000US02100,02100,"Haines Borough, Alaska",2560,*****,2521,32,39,32
0500000US02105,02105,"Hoonah-Angoon Census Area, Alaska",2128,*****,2081,32,47,32
0500000US02110,02110,"Juneau City and Borough, Alaska",32531,*****,30546,*****,1985,*****
0500000US02122,02122,"Kenai Peninsula Borough, Alaska",57221,*****,55097,*****,2124,*****
0500000US02130,02130,"Ketchikan Gateway Borough, Alaska",13699,*****,13036,*****,663,*****
0500000US02150,02150,"Kodiak Island Borough, Alaska",13973,*****,12787,*****,1186,*****
0500000US02158,02158,"Kusilvak Census Area, Alaska",7914,*****,7833,*****,81,*****
0500000US02164,02164,"Lake and Peninsula Borough, Alaska",1474,143,1442,139,32,21
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",96178,*****,91886,*****,4292,*****
0500000US02180,02180,"Nome Census Area, Alaska",9854,*****,9661,*****,193,*****
0500000US02185,02185,"North Slope Borough, Alaska",9667,*****,9317,*****,350,*****
0500000US02188,02188,"Northwest Arctic Borough, Alaska",7732,*****,7590,*****,142,*****
0500000US02195,02195,"Petersburg Borough, Alaska",3221,*****,2917,94,304,95
0500000US02198,02198,"Prince of Wales-Hyder Census Area, Alaska",6376,*****,6171,*****,205,*****
0500000US02220,02220,"Sitka City and Borough, Alaska",8943,*****,8403,*****,540,*****
0500000US02230,02230,"Skagway Municipality, Alaska",999,112,954,115,45,26
0500000US02240,02240,"Southeast Fairbanks Census Area, Alaska",7029,*****,6693,*****,336,*****
0500000US02261,02261,"Valdez-Cordova Census Area, Alaska",9617,*****,9192,*****,425,*****
0500000US02275,02275,"Wrangell City and Borough, Alaska",2387,*****,2353,22,34,22
0500000US02282,02282,"Yakutat City and Borough, Alaska",643,91,626,89,17,13
0500000US02290,02290,"Yukon-Koyukuk Census Area, Alaska",5644,*****,5535,*****,109,*****
0500000US04001,04001,"Apache County, Arizona",72124,*****,67577,*****,4547,*****
0500000US04003,04003,"Cochise County, Arizona",129647,*****,85687,*****,43960,*****
0500000US04005,04005,"Coconino County, Arizona",136701,*****,117785,*****,18916,*****
0500000US04007,04007,"Gila County, Arizona",53165,*****,43296,*****,9869,*****
0500000US04009,04009,"Graham County, Arizona",37407,*****,25525,*****,11882,*****
0500000US04011,04011,"Greenlee County, Arizona",9023,*****,4781,*****,4242,*****
0500000US04012,04012,"La Paz County, Arizona",20335,*****,15155,*****,5180,*****
0500000US04013,04013,"Maricopa County, Arizona",4018143,*****,2809109,*****,1209034,*****
0500000US04015,04015,"Mohave County, Arizona",203362,*****,171553,*****,31809,*****
0500000US04017,04017,"Navajo County, Arizona",107656,*****,95751,*****,11905,*****
0500000US04019,04019,"Pima County, Arizona",998537,*****,641948,*****,356589,*****
0500000US04021,04021,"Pinal County, Arizona",389772,*****,276378,*****,113394,*****
0500000US04023,04023,"Santa Cruz County, Arizona",47073,*****,8108,*****,38965,*****
0500000US04025,04025,"Yavapai County, Arizona",215996,*****,185614,*****,30382,*****
0500000US04027,04027,"Yuma County, Arizona",202987,*****,78950,*****,124037,*****
0500000US05001,05001,"Arkansas County, Arkansas",18731,*****,18185,*****,546,*****
0500000US05003,05003,"Ashley County, Arkansas",21229,*****,20151,*****,1078,*****
0500000US05005,05005,"Baxter County, Arkansas",41040,*****,40242,*****,798,*****
0500000US05007,05007,"Benton County, Arkansas",238198,*****,200130,*****,38068,*****
0500000US05009,05009,"Boone County, Arkansas",37227,*****,36391,*****,836,*****
0500000US05011,05011,"Bradley County, Arkansas",11206,*****,9642,*****,1564,*****
0500000US05013,05013,"Calhoun County, Arkansas",5245,*****,5063,*****,182,*****
0500000US05015,05015,"Carroll County, Arkansas",27635,*****,23685,*****,3950,*****
0500000US05017,05017,"Chicot County, Arkansas",11353,*****,10749,*****,604,*****
0500000US05019,05019,"Clark County, Arkansas",22751,*****,21767,*****,984,*****
0500000US05021,05021,"Clay County, Arkansas",15400,*****,15132,*****,268,*****
0500000US05023,05023,"Cleburne County, Arkansas",25711,*****,25098,*****,613,*****
0500000US05025,05025,"Cleveland County, Arkansas",8510,*****,8341,*****,169,*****
0500000US05027,05027,"Columbia County, Arkansas",24327,*****,23673,*****,654,*****
0500000US05029,05029,"Conway County, Arkansas",21110,*****,20292,*****,818,*****
0500000US05031,05031,"Craighead County, Arkansas",101409,*****,96656,*****,4753,*****
0500000US05033,05033,"Crawford County, Arkansas",61748,*****,57675,*****,4073,*****
0500000US05035,05035,"Crittenden County, Arkansas",49765,*****,48645,*****,1120,*****
0500000US05037,05037,"Cross County, Arkansas",17467,*****,17165,*****,302,*****
0500000US05039,05039,"Dallas County, Arkansas",7868,*****,7649,*****,219,*****
0500000US05041,05041,"Desha County, Arkansas",12379,*****,11804,*****,575,*****
0500000US05043,05043,"Drew County, Arkansas",18740,*****,18200,*****,540,*****
0500000US05045,05045,"Faulkner County, Arkansas",119343,*****,114551,*****,4792,*****
0500000US05047,05047,"Franklin County, Arkansas",17866,*****,17380,*****,486,*****
0500000US05049,05049,"Fulton County, Arkansas",12224,*****,12083,*****,141,*****
0500000US05051,05051,"Garland County, Arkansas",96954,*****,91932,*****,5022,*****
0500000US05053,05053,"Grant County, Arkansas",18054,*****,17833,112,221,112
0500000US05055,05055,"Greene County, Arkansas",43382,*****,42260,*****,1122,*****
0500000US05057,05057,"Hempstead County, Arkansas",22336,*****,19548,*****,2788,*****
0500000US05059,05059,"Hot Spring County, Arkansas",33316,*****,32269,*****,1047,*****
0500000US05061,05061,"Howard County, Arkansas",13555,*****,12122,*****,1433,*****
0500000US05063,05063,"Independence County, Arkansas",36952,*****,34739,*****,2213,*****
0500000US05065,05065,"Izard County, Arkansas",13480,*****,13238,*****,242,*****
0500000US05067,05067,"Jackson County, Arkansas",17597,*****,17103,*****,494,*****
0500000US05069,05069,"Jefferson County, Arkansas",73548,*****,72173,*****,1375,*****
0500000US05071,05071,"Johnson County, Arkansas",25930,*****,22460,*****,3470,*****
0500000US05073,05073,"Lafayette County, Arkansas",7270,*****,7180,79,90,79
0500000US05075,05075,"Lawrence County, Arkansas",17029,*****,16826,*****,203,*****
0500000US05077,05077,"Lee County, Arkansas",9966,*****,9741,*****,225,*****
0500000US05079,05079,"Lincoln County, Arkansas",14062,*****,13568,*****,494,*****
0500000US05081,05081,"Little River County, Arkansas",12720,*****,12323,*****,397,*****
0500000US05083,05083,"Logan County, Arkansas",22001,*****,21440,*****,561,*****
0500000US05085,05085,"Lonoke County, Arkansas",70691,*****,67969,*****,2722,*****
0500000US05087,05087,"Madison County, Arkansas",15702,*****,14878,*****,824,*****
0500000US05089,05089,"Marion County, Arkansas",16458,*****,16089,*****,369,*****
0500000US05091,05091,"Miller County, Arkansas",43652,*****,42355,*****,1297,*****
0500000US05093,05093,"Mississippi County, Arkansas",44864,*****,43144,*****,1720,*****
0500000US05095,05095,"Monroe County, Arkansas",7713,*****,7550,*****,163,*****
0500000US05097,05097,"Montgomery County, Arkansas",9197,*****,8858,*****,339,*****
